belial_nickname = {}	#Instrument Of Wrath
astaroth_nickname = {}	#the Hellhound
horned_nickname = {}	#the Horned God
mad_arab_nickname = {}	#the Mad Arab
mage_nickname = {}	#the Mage
mage2_nickname = {}	#the Secret Keeper
mage3_nickname = {}	#the Lore Master
mage4m_nickname = {}	#the Shadow King
mage5m_nickname = {}	#the Enchanter
mage6m_nickname = {}	#the God-Emperor
mage4f_nickname = {}	#the Shadow Queen
mage5f_nickname = {}	#the Enchantress
archmage_nickname = {}	#the Archmage
demonslayer_nickname = {}	#the Demon Slayer
